particle_id,radius_km,mass_kg,mass_earth,mass_solar
0,28.123691466710106,9.31763263924787e+16,1.5597756429237877e-08,4.6847699451199e-14
1,28.039674143823287,9.23437477115527e+16,1.5458382406070677e-08,4.642909102002731e-14
2,27.823502616874652,9.022440208147696e+16,1.5103603051623416e-08,4.5363514913358485e-14
3,27.760819754712315,8.96159820468727e+16,1.5001753280615575e-08,4.505761018385491e-14
4,27.756089002601087,8.957017517681366e+16,1.499408519120242e-08,4.503457915693626e-14
5,27.74175968453221,8.943152267758435e+16,1.4970874704214833e-08,4.4964866700311906e-14
6,27.52444057807899,8.73462193579884e+16,1.4621794046933582e-08,4.3916406571399754e-14
7,27.45574467052274,8.669385028857566e+16,1.4512587188918951e-08,4.3588404907475246e-14
8,27.231784276325037,8.458958677788053e+16,1.4160332587632102e-08,4.2530411870703966e-14
9,27.04133817130134,8.282723189337286e+16,1.3865313634914011e-08,4.16443255100119e-14
10,26.933331316548905,8.183872032790074e+16,1.3699836380951749e-08,4.114731629623149e-14
11,26.93152915575335,8.182229347042658e+16,1.3697086518065972e-08,4.113905711161162e-14
12,26.752270431904563,8.019929436697216e+16,1.3425395782010112e-08,4.0323036807399075e-14
13,26.549141448312476,7.838627978695582e+16,1.3121896374847022e-08,3.941147948985169e-14
14,26.484432502509684,7.781451658190352e+16,1.3026182972603188e-08,3.9124005280204094e-14
15,26.454493966751084,7.755092548630248e+16,1.2982057711764047e-08,3.8991475517518293e-14
16,26.443425991572877,7.745362942811877e+16,1.2965770310491303e-08,3.894255647694164e-14
17,26.343131569778617,7.657567119526422e+16,1.2818799731146648e-08,3.850113186818184e-14
18,26.27483349016249,7.598161612690219e+16,1.2719354661560676e-08,3.820244963442582e-14
19,25.921957709524772,7.296120576146038e+16,1.2213736689479846e-08,3.668383130616636e-14
20,25.70682015063692,7.11596309040613e+16,1.191215229671913e-08,3.577802571448892e-14
21,25.68960582431765,7.101677251120343e+16,1.1888237741360041e-08,3.5706198595822574e-14
22,25.119891363478175,6.639599444133403e+16,1.1114717538988073e-08,3.338293870107095e-14
23,24.714550299049137,6.3233430992693864e+16,1.0585303080683332e-08,3.1792847873566493e-14
24,24.713720494286452,6.322706191377149e+16,1.058423689417914e-08,3.1789645593473587e-14
25,24.651785920909514,6.2752895876247656e+16,1.0504861299039657e-08,3.155124181779441e-14
26,24.616804139774597,6.248612885950781e+16,1.0460204387659231e-08,3.1417115248229096e-14
27,24.608601792073664,6.242368831748527e+16,1.0449751814527354e-08,3.1385721053378355e-14
28,24.466452875047363,6.134817392439148e+16,1.026971025043999e-08,3.0844968085388797e-14
29,24.4314482243194,6.1085234243721544e+16,1.0225694036735708e-08,3.0712765844640077e-14
30,24.411914366704572,6.093883156479023e+16,1.0201186166389547e-08,3.063915671057168e-14
31,24.216646588022694,5.948817159031974e+16,9.958345073383528e-09,2.990978600965335e-14
32,24.214627310463158,5.947329177034203e+16,9.95585418522868e-09,2.990230465294835e-14
33,24.18961163403985,5.928915990434594e+16,9.925030433017517e-09,2.9809725833289394e-14
34,23.994837178700205,5.786847414396544e+16,9.687207036122034e-09,2.9095425730529855e-14
35,23.895008244891187,5.714920106621788e+16,9.566800418827876e-09,2.8733785705919736e-14
36,23.78720376883167,5.637918427651328e+16,9.437899282699745e-09,2.8346632482208073e-14
37,23.748203194669422,5.610232734345274e+16,9.391553315061631e-09,2.8207432849713783e-14
38,23.667250840383677,5.553055965974489e+16,9.295839163088964e-09,2.7919956388263426e-14
39,23.539390980392913,5.4635418817975576e+16,9.145992207747872e-09,2.7469892614069734e-14
40,23.46942587685234,5.414969397551127e+16,9.064681663774766e-09,2.722567723966337e-14
41,23.419827422580468,5.380711176276235e+16,9.00733325653086e-09,2.7053431894074348e-14
42,23.4028594930904,5.369024489440116e+16,8.987769693360668e-09,2.6994672935261933e-14
43,23.40223172296922,5.368592436757347e+16,8.98704643534317e-09,2.6992500637317477e-14
44,23.32189494669099,5.313493009248897e+16,8.8948097607562e-09,2.6715468743081155e-14
45,23.23249850718968,5.252624596924611e+16,8.792915781198613e-09,2.640943123365752e-14
46,23.153587940487146,5.199283625575012e+16,8.70362276965559e-09,2.6141240600803512e-14
47,23.13386150212312,5.186005857446202e+16,8.681395729674991e-09,2.6074481917051475e-14
48,23.122717971864184,5.1785152039539336e+16,8.668856344061518e-09,2.6036820002583983e-14
49,23.109515999072027,5.169650209330456e+16,8.654016305584248e-09,2.5992248101132556e-14
50,23.020013523942584,5.109816832522462e+16,8.55385497985664e-09,2.5691414599493507e-14
51,23.01860469723668,5.108878726315776e+16,8.552284586100718e-09,2.5686697938156268e-14
52,23.012144536837734,5.104578520279177e+16,8.54508602301594e-09,2.5665077128688822e-14
53,22.962189244797244,5.071407224643054e+16,8.489557133886411e-09,2.549829668686048e-14
54,22.87838250991783,5.016081217434467e+16,8.396941163923524e-09,2.5220125582901612e-14
55,22.796178593370094,4.962205679820674e+16,8.306753286194311e-09,2.4949247228750648e-14
56,22.48348997290887,4.760798322386898e+16,7.969596518382302e-09,2.393660037802877e-14
57,22.427470233227336,4.725300977898799e+16,7.910173813640983e-09,2.3758124901448018e-14
58,22.40744376446551,4.7126539941303736e+16,7.889002709346368e-09,2.3694537709562848e-14
59,22.293509716148957,4.6411322797732e+16,7.769275057147927e-09,2.33349369495666e-14
60,22.218656976572895,4.5945398401172216e+16,7.691279116190054e-09,2.3100676950894064e-14
61,22.217253790276054,4.593669411061734e+16,7.689822014271351e-09,2.3096300560413364e-14
62,21.93361950975266,4.4199720729408184e+16,7.399051935935689e-09,2.2222975649804007e-14
63,21.91686108868944,4.409848549167835e+16,7.3821051143416e-09,2.2172076047140334e-14
64,21.79311819114441,4.335575284215948e+16,7.257771354815178e-09,2.1798640891619313e-14
65,21.781617637117158,4.328715062197378e+16,7.246287314153881e-09,2.1764148694755837e-14
66,21.74176046140476,4.304995770965406e+16,7.206581120356106e-09,2.1644891554036394e-14
67,21.649526360944968,4.250439195329939e+16,7.115253182099463e-09,2.1370589039930914e-14
68,21.621496097317024,4.233951064284989e+16,7.087651981025147e-09,2.1287689119145007e-14
69,21.620099465526216,4.233130646214926e+16,7.086278597707471e-09,2.128356417661307e-14
70,21.532521321759223,4.181896375503161e+16,7.00051221193845e-09,2.102596572764697e-14
71,21.518710186075765,4.173854627906282e+16,6.9870502924640565e-09,2.09855329923088e-14
72,21.500664423110827,4.1633627474933336e+16,6.969486840297406e-09,2.09327813461242e-14
73,21.496661856741618,4.161038023933683e+16,6.9655952432305716e-09,2.0921092974748524e-14
74,21.47862284605038,4.1505715561951736e+16,6.948074331988365e-09,2.0868469099788697e-14
75,21.477673630553785,4.150021295674463e+16,6.947153193550419e-09,2.0865702470056428e-14
76,21.40303508240314,4.1069054008883496e+16,6.87497700340211e-09,2.0648922032501808e-14
77,21.38482579590975,4.09643209041864e+16,6.8574446373989465e-09,2.0596263753286408e-14
78,21.36991794020523,4.087870909276455e+16,6.84311318397376e-09,2.0553219381757212e-14
79,21.348519554296953,4.075603251762873e+16,6.822577073433388e-09,2.0491539387018448e-14
80,21.27064337820356,4.031164197710329e+16,6.748185909079298e-09,2.026810629743946e-14
81,21.26825885829544,4.029808623236232e+16,6.745916671678847e-09,2.0261290666473422e-14
82,21.255731578461003,4.022691988309948e+16,6.7340033947260275e-09,2.022550926286602e-14
83,21.187693289782107,3.984186337489824e+16,6.669544772467009e-09,2.003190846031929e-14
84,21.15803920485108,3.967481057074866e+16,6.6415800624292806e-09,1.9947916744136846e-14
85,21.123483162701486,3.948073306759582e+16,6.6090914063534725e-09,1.985033740301059e-14
86,21.096812118069348,3.9331373692008776e+16,6.58408858373717e-09,1.977524168493895e-14
87,21.074050039335848,3.920420306982829e+16,6.562800167821623e-09,1.97113021488186e-14
88,21.034366392925214,3.898314855412962e+16,6.525795548440864e-09,1.9600159158804585e-14
89,20.95906516647957,3.8565976586145736e+16,6.45596078463713e-09,1.9390411170959987e-14
90,20.873659917089306,3.8096442252852264e+16,6.3773605387439055e-09,1.9154336148689875e-14
91,20.78627713689972,3.761999636096343e+16,6.2976032950198934e-09,1.891478609545051e-14
92,20.755959136535612,3.745562344991658e+16,6.270087200220511e-09,1.8832141790477533e-14
93,20.74482384429876,3.739537247434774e+16,6.260001161438642e-09,1.8801848477740555e-14
94,20.682343187572236,3.705849943221409e+16,6.203608471769335e-09,1.863247361996163e-14
95,20.680477129430912,3.704846956159529e+16,6.201929467187529e-09,1.8627430747136784e-14
96,20.654171421393652,3.690727160043759e+16,6.178292868797012e-09,1.8556438469338935e-14
97,20.525417198281144,3.622134636957531e+16,6.063468695169555e-09,1.8211565256307602e-14
98,20.429746143271558,3.5717209395252424e+16,5.979075952539426e-09,1.7958092530243762e-14
99,20.391430389465615,3.5516624415216676e+16,5.945497942082322e-09,1.7857241324546326e-14
100,20.370807640212806,3.5408974792400028e+16,5.927477349712961e-09,1.780311666251032e-14
101,20.357392109766696,3.533906336559053e+16,5.915774147309361e-09,1.7767966215629856e-14
102,20.302035634000788,3.505156121470363e+16,5.867646165706753e-09,1.7623414322699572e-14
103,20.30047090223317,3.504345728877935e+16,5.86628956508102e-09,1.7619339786808596e-14
104,20.260109238367928,3.483485100158313e+16,5.831368784414173e-09,1.7514455584730974e-14
105,20.254178883844233,3.4804270334333224e+16,5.826249567788285e-09,1.7499080070758614e-14
106,20.19087277181178,3.4478938427854932e+16,5.771788869106805e-09,1.7335507927847742e-14
107,20.142403465758765,3.4231228230548692e+16,5.730322077356008e-09,1.7210962849460358e-14
108,20.06975042959257,3.386214969787233e+16,5.668538174954688e-09,1.7025395540229035e-14
109,20.041112165440214,3.371739900857737e+16,5.644306848372045e-09,1.6952617002482437e-14
110,20.028103102979767,3.3651781828714652e+16,5.633322504722769e-09,1.691962564040517e-14
111,19.937407598840128,3.3196681539565908e+16,5.557138523921494e-09,1.6690807845245615e-14
112,19.865392509405545,3.283825422196572e+16,5.497137639426824e-09,1.6510595811780123e-14
113,19.810897010628626,3.2568745466228516e+16,5.452021759779146e-09,1.637509073579054e-14
114,19.791555502842833,3.247344733201831e+16,5.436068811824207e-09,1.6327176222280592e-14
115,19.782543452984367,3.242910734753909e+16,5.428646279677255e-09,1.6304882724060843e-14
116,19.782280325609044,3.2427813347236652e+16,5.428429663479577e-09,1.6304232119560692e-14
117,19.77744767591804,3.240405360177293e+16,5.424452272044301e-09,1.629228606569039e-14
118,19.722577060842163,3.2135095447520124e+16,5.379428563317883e-09,1.6157057824105608e-14
119,19.700815541498596,3.2028840999277204e+16,5.361641523761987e-09,1.610363463551938e-14
120,19.683215202404796,3.1943075768545304e+16,5.347284387879438e-09,1.606051312699621e-14
121,19.665193757000846,3.1855417300491704e+16,5.332610323268852e-09,1.601643972632972e-14
122,19.585193741761177,3.146822345889683e+16,5.2677939104961635e-09,1.5821764303690863e-14
