particle_id,radius_km,mass_kg,mass_earth,mass_solar
0,38.857711457212645,2.457651315299166e+17,4.114118691754609e-08,1.2356712765215123e-13
1,38.85651232525448,2.457423796190603e+17,4.113737823805017e-08,1.2355568832283869e-13
2,38.693322400665565,2.426591518511595e+17,4.0621244606241077e-08,1.2200548631979138e-13
3,38.29886326621935,2.353131846106527e+17,3.939152658460597e-08,1.183120410125358e-13
4,38.24899533277429,2.3439519577968384e+17,3.923785486621368e-08,1.1785048960223833e-13
5,38.10026307522798,2.316714583551926e+17,3.878190006986915e-08,1.1648103410654659e-13
6,38.01382952561189,2.3009833580448704e+17,3.851855868982922e-08,1.1569009100641908e-13
7,37.996209229743464,2.297785162713793e+17,3.846502076478037e-08,1.1552929040453075e-13
8,37.43732796369437,2.197875770493343e+17,3.6792533315249884e-08,1.1050599171878925e-13
9,37.37683341039546,2.1872384102874925e+17,3.661446345569989e-08,1.0997116074490139e-13
10,37.34552781134195,2.1817471365826134e+17,3.652253930173164e-08,1.0969506750309784e-13
11,37.27500244441189,2.169410066891332e+17,3.631601623353878e-08,1.0907477761254007e-13
12,37.25276857449837,2.1655303395003514e+17,3.6251069432994776e-08,1.0887971057158415e-13
13,37.23258073810059,2.1620116464965334e+17,3.6192166363354924e-08,1.0870279581363421e-13
14,37.17488671169966,2.151976727878925e+17,3.6024181401460874e-08,1.0819825472512345e-13
15,36.666153728634285,2.0648317720052032e+17,3.456537115600274e-08,1.0381673330275744e-13
16,36.5285139676604,2.0416656584295747e+17,3.417756943537826e-08,1.0265197486221541e-13
17,36.40781889291771,2.0214946474997978e+17,3.383990585966601e-08,1.0163780581922842e-13
18,36.29177655278918,2.0022269105710643e+17,3.351736312891796e-08,1.0066905207706013e-13
19,36.117387272480514,1.973502074269796e+17,3.3036508154866225e-08,9.922480915621523e-14
20,36.02088375249638,1.9577250626763504e+17,3.277240031380447e-08,9.843156399836848e-14
21,36.01707791774889,1.9571045900422083e+17,3.276201357567789e-08,9.840036753827245e-14
22,35.84870396483541,1.9297852700428592e+17,3.230468700393976e-08,9.702679192943201e-14
23,35.78175686560682,1.9189938833877613e+17,3.212403873511776e-08,9.648421673007268e-14
24,35.4942230410195,1.8731028789797603e+17,3.1355821381244e-08,9.417688388571488e-14
25,35.49105293605132,1.8726010449983254e+17,3.1347420659179295e-08,9.415165240423574e-14
26,35.39652631341721,1.8576784427645946e+17,3.10976156669201e-08,9.340136570423117e-14
27,35.39176922719528,1.8569295600487885e+17,3.1085079338597806e-08,9.336371297230601e-14
28,35.367051812518255,1.8530416687816832e+17,3.101999587442234e-08,9.316823546355224e-14
29,35.27704367994968,1.8389298303066774e+17,3.078376310175997e-08,9.245871278415812e-14
30,35.00589927196259,1.7968520757388598e+17,3.007937971141947e-08,9.034310458635138e-14
31,34.909276338604954,1.7820141472774333e+17,2.9830992161688314e-08,8.959707516025951e-14
32,34.900701184617866,1.780701261937793e+17,2.9809014405599315e-08,8.953106519808705e-14
33,34.81783600289372,1.7680475280484842e+17,2.959719036534421e-08,8.889485389299138e-14
34,34.69520023583067,1.7494309441538832e+17,2.9285547963915622e-08,8.795883917673327e-14
35,34.67349453747493,1.7461496082074966e+17,2.9230618261451658e-08,8.779385838583235e-14
36,34.563899960380844,1.7296444104081037e+17,2.8954320552517618e-08,8.696400108642397e-14
37,34.5213851992957,1.723269695315279e+17,2.884760755236687e-08,8.664348969869473e-14
38,34.49950282033051,1.7199947390290413e+17,2.8792784645683504e-08,8.647882966781174e-14
39,34.4215263060822,1.7083583727642458e+17,2.859799138247289e-08,8.589377012470315e-14
40,34.36415700850967,1.6998307963914483e+17,2.8455239393481237e-08,8.546501600825816e-14
41,34.3623435472005,1.6995617007715494e+17,2.845073472142787e-08,8.545148627252727e-14
42,34.34309397168888,1.6967070481960035e+17,2.8402947716630203e-08,8.530795849988956e-14
43,34.25072763559992,1.683053867086399e+17,2.817439288765481e-08,8.462149644462317e-14
44,34.111945673656734,1.6626777434641178e+17,2.783329571679872e-08,8.35970146342798e-14
45,34.08178709659997,1.6582716908939232e+17,2.7759538210503794e-08,8.337548473010093e-14
46,33.964934836880154,1.6412735340662934e+17,2.747498834659678e-08,8.252084216893055e-14
47,33.78965534163481,1.6159945625281594e+17,2.7051817294356967e-08,8.124985230819537e-14
48,33.77321884592593,1.6136374769799603e+17,2.7012359582632188e-08,8.113134148080166e-14
49,33.70784993791045,1.604285893747476e+17,2.6855813683973734e-08,8.066115749992338e-14
50,33.5523085646467,1.5821797826297066e+17,2.648575644930638e-08,7.95496944386756e-14
51,33.32937714867431,1.550851457523406e+17,2.596131896259356e-08,7.797455189366119e-14
52,33.28961367342187,1.545307366433531e+17,2.586851064336757e-08,7.769580307068816e-14
53,33.283155636540585,1.544408192638933e+17,2.5853458436032617e-08,7.765059392227607e-14
54,32.92432982310857,1.4949939673899658e+17,2.502626221633372e-08,7.5166118666913e-14
55,32.89293343726518,1.4907212004636624e+17,2.4954735917352305e-08,7.495129017072896e-14
56,32.80866895922142,1.4792938231004576e+17,2.4763441137189516e-08,7.437673828512247e-14
57,32.794378139733716,1.4773616099364698e+17,2.4731095807138293e-08,7.427958942222261e-14
58,32.73816208573698,1.469777155574074e+17,2.4604131720472102e-08,7.389825410645345e-14
59,32.72532761975083,1.468049226201155e+17,2.4575206109719655e-08,7.381137633495339e-14
60,32.69367598197778,1.463793693386789e+17,2.4503968310500665e-08,7.359741434480971e-14
61,32.691451533814906,1.463494928115988e+17,2.4498966967236877e-08,7.35823928622563e-14
62,32.674637662338704,1.4612379746226576e+17,2.4461185470343776e-08,7.34689165287019e-14
63,32.628920915938465,1.4551130753053155e+17,2.4358654396835795e-08,7.316096551421452e-14
64,32.49160719355442,1.4368194287249104e+17,2.4052417979699314e-08,7.224118761563615e-14
65,32.476596271885576,1.4348289435179747e+17,2.4019097173185643e-08,7.214110891931173e-14
66,32.34564223035742,1.4175420316217578e+17,2.3729713537223096e-08,7.12719481739717e-14
67,32.2990405847894,1.4114239281424731e+17,2.3627296226331497e-08,7.096433884432119e-14
68,32.27713910916735,1.4085546809629427e+17,2.3579264907246134e-08,7.082007727625761e-14
69,32.19402823523709,1.3977019501780768e+17,2.339758973509844e-08,7.027441778342401e-14
70,32.10245110008088,1.3858083973584282e+17,2.3198491158086793e-08,6.967642727502505e-14
